Year,City,Venue JSON Count,GeoJSON Count,+/-
1896,Athens,8,6,-2
1900,Paris,15,25,10
1904,Louis,6,0,-6
1908,London,14,14,0
1912,Stockholm,16,14,-2
1920,Antwerp,6,20,14
1924,Paris,22,23,1
1928,Amsterdam,12,15,3
1936,Berlin,9,25,16
1948,London,29,30,1
1952,Helsinki,8,29,21
1960,Rome,19,30,11
1964,Tokyo,14,31,17
1972,Munich,33,34,1
1976,Montreal,25,24,-1
1980,Moscow,28,27,-1
1988,Seoul,12,32,20
1992,Barcelona,15,39,24
1996,Atlanta,29,29,0
2000,Sydney,12,30,18
2004,Athens,34,35,1
2008,Beijing,12,37,25
2012,London,9,30,21
2016,Rio,13,37,24
